,ID,TITLE,PRICE,PRICE PER SQ. M.,BEDROOMS,BATHROOMS,SIZE,POOL,URL,IMG,NEW BUILD,*ROOMS*,*KITCHEN*,*BATHROOM*,*GARDEN*,*OUTSIDE*,*HEATING*,*POOL*,*BUILDINGS*,*TENURE*,*UTILITIES*,*ENERGY CONSUMPTION RATING*,*SECURITY*,*PARKING*,*PLOT SIZE*,*LEISURE*,*VIEWS*,*QUALITY*,LAT,LON
248,4617252,4 bedroom Apartment for sale in Malaga,480000.0,,4,,,False,https://www.kyero.com/en/property/4617252,http://production.kyero.s3.amazonaws.com/4617/4617252/54237270_original.jpg,True,,,,,roof terrace,open fireplace,private pool,,,,Awaiting details,,parking,,,,,36.719623,-4.420023
249,4617283,2 bedroom Apartment for sale in Malaga,385000.0,,2,,,False,https://www.kyero.com/en/property/4617283,http://production.kyero.s3.amazonaws.com/4617/4617283/54237721_original.jpg,True,,,,garden,,underfloor heating throughout,,,,,Awaiting details,,,,,sea views,newly built,36.719623,-4.420023
250,4617302,3 bedroom Apartment for sale in Malaga,122000.0,,3,,,True,https://www.kyero.com/en/property/4617302,http://production.kyero.s3.amazonaws.com/4617/4617302/54237921_original.jpg,True,,,,,,air conditioning,,,,,Awaiting details,,parking,,,,,36.719623,-4.420023
251,4249805,2 bedroom Villa for sale in Malaga,249000.0,,2,,,False,https://www.kyero.com/en/property/4249805,http://production.kyero.s3.amazonaws.com/4249/4249805/47147328_original.jpg,True,reception with fireplace,,,,terrace,,,,,,Awaiting details,,,,,,,36.719623,-4.420023
252,4260580,3 bedroom Apartment for sale in Malaga,225000.0,,3,,,False,https://www.kyero.com/en/property/4260580,http://production.kyero.s3.amazonaws.com/4260/4260580/62372611_original.jpg,True,,,,community garden,,,,,,,Awaiting details,,parking,,,,,36.719623,-4.420023
253,4601310,2 bedroom Apartment for sale in Malaga,249000.0,,2,,,False,https://www.kyero.com/en/property/4601310,http://production.kyero.s3.amazonaws.com/4601/4601310/53932083_original.jpg,True,reception with fireplace,fitted kitchen,,,terrace,air conditioning,communal pool,,,,Awaiting details,,,,,,rustic style,36.719623,-4.420023
254,4645446,2 bedroom Apartment for sale in Malaga,210000.0,,2,,,False,https://www.kyero.com/en/property/4645446,http://production.kyero.s3.amazonaws.com/4645/4645446/54704107_original.jpg,True,reception with fireplace,,,,,,,,,,Awaiting details,,parking,,,,,36.719623,-4.420023
255,4645464,3 bedroom Apartment for sale in Malaga,295000.0,,3,,,True,https://www.kyero.com/en/property/4645464,http://production.kyero.s3.amazonaws.com/4645/4645464/54704393_original.jpg,True,,,,,various terraces,,,,,,Awaiting details,24h security system,,,,sea views,,36.719623,-4.420023
256,4645469,2 bedroom Apartment for sale in Malaga,189500.0,,2,,,False,https://www.kyero.com/en/property/4645469,http://production.kyero.s3.amazonaws.com/4645/4645469/54704459_original.jpg,True,,,,,various terraces,,,,,,Awaiting details,,garage,,,,,36.719623,-4.420023
257,4645478,3 bedroom Apartment for sale in Malaga,127500.0,,3,,,False,https://www.kyero.com/en/property/4645478,http://production.kyero.s3.amazonaws.com/4645/4645478/54704575_original.jpg,True,,,,,,,communal pool,,,,Awaiting details,,parking,,,,,36.719623,-4.420023
